date,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt
18-07-10,102,0,382,0,0,49401,18,0
19-07-10,103,0,400,0,0,49409,19,0
20-07-10,101,0,412,0,0,49480,17,0
21-07-10,104,0,430,0,0,49502,18,0
22-07-10,90,0,356,0,0,49580,14,0
23-07-10,92,0,366,0,0,49687,16,0
24-07-10,92,0,371,0,0,49727,14,0
25-07-10,91,0,375,0,0,49767,13,0
26-07-10,92,0,386,0,0,49378,15,0
27-07-10,94,0,391,0,0,49369,16,0
28-07-10,96,0,397,0,0,49404,17,0
29-07-10,108,0,469,0,0,49594,18,0
30-07-10,101,0,399,0,0,49612,18,0
31-07-10,108,0,473,0,0,49743,18,0
01-08-10,102,0,402,0,0,49802,18,0
02-08-10,105,0,410,0,0,49894,18,0
03-08-10,108,0,413,0,0,49901,18,0
04-08-10,110,0,421,0,0,50005,15,0
05-08-10,109,0,428,0,0,50100,18,0
06-08-10,112,0,432,0,0,50138,18,0
07-08-10,113,0,441,0,0,50144,17,0
08-08-10,114,0,444,0,0,50228,18,0
09-08-10,124,0,529,0,0,50301,18,0
10-08-10,125,0,537,0,0,50341,18,0
11-08-10,127,0,530,0,0,50369,19,0
12-08-10,131,0,539,0,0,50519,19,0
13-08-10,124,0,466,0,0,50542,19,0
14-08-10,133,0,550,0,0,50726,19,0
15-08-10,128,0,477,0,0,50769,19,0
16-08-10,125,0,484,0,0,50781,18,0
17-08-10,135,0,564,0,0,50881,18,0
18-08-10,139,0,562,0,0,50836,18,0
19-08-10,133,0,566,0,0,50905,18,0
20-08-10,129,0,492,0,0,50922,18,0
21-08-10,130,0,496,0,0,51014,18,0
22-08-10,132,0,501,0,0,51052,18,0
23-08-10,133,0,510,0,0,51103,18,0
24-08-10,132,0,517,0,0,51158,18,0
25-08-10,133,0,521,0,0,51287,18,0
26-08-10,134,0,523,0,0,51369,18,0
27-08-10,135,0,522,0,0,51415,18,0
28-08-10,136,0,526,0,0,51480,18,0
29-08-10,137,0,530,0,0,51586,18,0
30-08-10,139,0,535,0,0,51661,18,0
31-08-10,141,0,511,0,0,51634,18,0
01-09-10,145,0,514,0,0,51696,18,0
02-09-10,148,0,523,0,0,51712,18,0
03-09-10,147,0,520,0,0,51800,18,0
04-09-10,150,0,527,0,0,51854,18,0
05-09-10,151,0,523,0,0,51909,18,0
06-09-10,154,0,525,0,0,51929,18,0
07-09-10,156,0,527,0,0,51999,18,0
08-09-10,157,0,533,0,0,52083,18,0
09-09-10,155,0,537,0,0,52149,18,0
10-09-10,157,0,535,0,0,52232,18,0
11-09-10,163,0,538,0,0,52339,18,0
12-09-10,162,0,538,0,0,52272,18,0
13-09-10,166,0,551,0,0,52323,18,0
14-09-10,167,0,549,0,0,52397,18,0
