,source,title,excerpt,vader_sentiment_title,tb_sentiment_title,flair_sentiment_title,vader_sentiment_excerpt,tb_sentiment_excerpt,flair_sentiment_excerpt,date
0,crypto.news,Metaclassn Launches “Knowledge-Sharing” Metaverse Platform,"Metaclassn formally announced their knowledge-sharing platform on the metaverse in a recent tweet. In addition to the announcement, Metaclassn als...",50.0,50.0,97.70930707454681,50.0,50.0,0.07270574569702148,2022-10-28
1,NewsBTC,Why Bitcoin (BTC) Could Not Surpass Litecoin (LTC) In This Key Area,"Bitcoin is slowly losing its grip on the bullish momentum it had for the last couple of days, declining by 2.7% over the last 24 hours. At press t...",50.0,50.0,0.9316235780715942,30.910000000000004,45.0,0.00016689300537109375,2022-10-28
2,AMBCrypto,"ApeCoin, MANA walk against the market tide; here’s everything you need to know","The past few days have been marked by several cryptocurrency assets logging huge double-digit gains. Not registering the same level of success, le...",50.0,50.0,90.7629132270813,92.21,52.5,0.005972385406494141,2022-10-28
3,NewsBTC,"Ocean Protocol (OCEAN) Breaks Out With Bullish Bias, Will $0.25 Play Out?",OCEAN&#8217;s price shows strength as it bounces from a downtrend range price rallied to a high of $0.18 with eyes set on $0.25.  OCEAN could rall...,62.5,50.0,0.04446208477020264,74.695,57.99999999999999,98.30627143383026,2022-10-28
4,Cointelegraph.com News,UK Prime Minister Rishi Sunak's win was a victory for crypto,"Cryptocurrency fans have a lot to look forward to with the new prime minister, who has a track record of being highly positive ab...",79.295,90.0,89.96290862560272,79.92,59.09090909090909,98.93403649330139,2022-10-28
5,CryptoGlobe,"El Salvador Ambassador to the US: “We Didn’t Go for CBDC, We Went Straight for the Best”","On Friday (October 28), Milena Mayorga, Ambassador of El Salvador to the United States, spoke about her country’s experiment with the Bitcoin Stan...",61.315,80.0,1.3567566871643066,71.075,50.0,6.862649321556091,2022-10-28
6,The Block,Bakkt to report charges of up to $1.4 billion in Q3,Bakkt will report an impairment loss of between $1.3-1.4 million in the third quarter.,36.34,50.0,0.0826716423034668,34.089999999999996,50.0,0.0077664852142333984,2022-10-28
7,Bitcoinist.com,SHIB And DOGE On Cardano Network? Here’s Why You Should Be Careful,"The popularity of Shiba Inu (SHIB) and Dogecoin (DOGE) has seen them bridged to other chains because of the demand. However, it has also led to a ...",57.655,45.0,0.0075876712799072266,69.08999999999999,43.75,97.36872017383575,2022-10-28
8,crypto.news,Mercuryo Integrates Fireblocks on Crypto BaaS Offering,"Mercuryo, in its bid to scale up its banking as a service offerings (BAAS), have just secured partnership with Fireblocks.",50.0,50.0,99.17076826095581,70.095,50.0,8.82459282875061,2022-10-28
9,Seeking Alpha,Anticipating Crypto Crisis: Bitcoin Price Might Drop 35%,"The increase in the price of the most significant world indices, namely the S&amp;P 500 (NYSEARCA:SPY) and Nasdaq 100 (NASDAQ:QQQ) by 5% this week...",13.245000000000001,50.0,0.15675127506256104,76.27999999999999,71.875,8.536773920059204,2022-10-28
